Microorganismo,Bacteria,Gram,Morfología,Respiración,Motilidad,Patógena,Fermenta lactosa,Flagelos,Esporas,Fermenta glucosa,Catalasa,Oxidasa,Hifa,tamano,Antibiotico,Comestible,tipo_celula,Medicinal,Toxico,Celula,Parasito,Saprofito,Patogeno,Mat_gen,Cadena ,Envoltura,Vectores,Huesped,Retrotranscriptasa,Vacuna,Transmision,Genero
hongo,morchella_esculenta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,macroscopico,no,si,hifa,no,no,multicelular,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,ganoderma_lucidum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,macroscopico,no,si,hifa,si,no,multicelular,no,si,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
virus,herpes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,si,no,humano,no,no,sexual,simplexvirus
virus,cytomegalovirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,si,no,humano,no,no,contacto,cytomegalovirus
virus,coronavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,no,humano,no,si,saliva,betacoronavirus
virus,pneumovirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,no,humano,no,no,saliva,pneumovirus
virus,lyssavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple**,si,si,animal,no,si,saliva,lyssavirus**
virus,influenza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,no,humano,no,si,saliva,influenzavirus
virus,VIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,no,humano,si,no,sangre,lentivirus
virus,rotavirus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,doble,no,no,animal,no,si,fecal,rotavirus***
virus,flavivirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,si,humano,no,no,vector,flavivirus ***
virus,viruela_simica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,si,no,animal,no,si,contacto,orthopoxvirus
virus,ebola ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,no,humano,no,si,sangre,ebolavirus
virus,arenavirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,si,humano,no,si,vector,arenavirus
virus,vius_mosaico_del_tabaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple*,no,si,plantas,no,no,vector,tobamovirus¨****
virus,bacteriofago_T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,no,no,bacterias,no,no,bacteria,tequatrovirus
virus,hepatitis_B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,si,no,humano,no,si,sangre,hepadnavirus
virus,adenovirus ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,no,no,humano,no,no,saliva,adenovirus
virus,VPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,no,no,humano,no,si,sexual,alphapapillomavirus
virus,dengue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,si,si,humano,no,si,vector,orthoflavivirus 
virus,virus_polio ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rna,simple,no,no,humano,no,si,fecal,enterovirus***
virus,virus_mosaico_de_la_coliflor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,simple*,no,si,plantas,no,no,vector,caulimovirus
virus,virus_epsteinbarr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dna,doble*,si,no,humano,no,no,contacto,lymphocryptovirus
